E=900.00000000000000     
    8.50   0.23639E+01   0.16555E-05 
    8.60   0.21997E+01   0.16950E-05 
    8.70   0.20474E+01   0.17349E-05 
    8.80   0.19060E+01   0.17753E-05 
    8.90   0.17748E+01   0.18162E-05 
    9.00   0.16530E+01   0.18576E-05 
    9.10   0.15398E+01   0.18994E-05 
    9.20   0.14346E+01   0.19417E-05 
    9.30   0.13369E+01   0.19845E-05 
    9.40   0.12460E+01   0.20278E-05 
    9.50   0.11615E+01   0.20716E-05 
    9.60   0.10828E+01   0.21158E-05 
    9.70   0.10096E+01   0.21605E-05 
    9.80   0.94151E+00   0.22057E-05 
    9.90   0.87808E+00   0.22513E-05 
   10.00   0.81901E+00   0.22975E-05 
E=1000.0000000000000     
    3.00   0.34400E+03   0.22655E-06 
    3.10   0.29874E+03   0.24196E-06 
    3.20   0.26043E+03   0.25787E-06 
    3.30   0.22785E+03   0.27429E-06 
    3.40   0.20001E+03   0.29122E-06 
    3.50   0.17612E+03   0.30866E-06 
    3.60   0.15555E+03   0.32661E-06 
    3.70   0.13775E+03   0.34506E-06 
    3.80   0.12231E+03   0.36403E-06 
    3.90   0.10887E+03   0.38351E-06 
    4.00   0.97126E+02   0.40349E-06 
    4.10   0.86837E+02   0.42398E-06 
    4.20   0.77798E+02   0.44499E-06 
    4.30   0.69836E+02   0.46651E-06 
    4.40   0.62803E+02   0.48853E-06 
    4.50   0.56577E+02   0.51107E-06 
    4.60   0.51053E+02   0.53412E-06 
    4.70   0.46139E+02   0.55768E-06 
    4.80   0.41761E+02   0.58175E-06 
    4.90   0.37851E+02   0.60634E-06 
    5.00   0.34354E+02   0.63143E-06 
    5.10   0.31219E+02   0.65704E-06 
    5.20   0.28405E+02   0.68317E-06 
    5.30   0.25874E+02   0.70980E-06 
    5.40   0.23594E+02   0.73696E-06 
    5.50   0.21538E+02   0.76462E-06 
    5.60   0.19681E+02   0.79280E-06 
    5.70   0.18001E+02   0.82150E-06 
    5.80   0.16479E+02   0.85071E-06 
    5.90   0.15099E+02   0.88043E-06 
    6.00   0.13846E+02   0.91067E-06 
    6.10   0.12706E+02   0.94143E-06 
    6.20   0.11670E+02   0.97271E-06 
    6.30   0.10725E+02   0.10045E-05 
